,M1,M2,Mu,TB,ID,LogL,mN1,mN2,mC1,mN3,mN4,mC2,N11,N12,N13,N14,N21,N22,N23,N24,N31,N32,N33,N34,N41,N42,N43,N44,U11,U12,U21,U22,V11,V12,V21,V22,WN2,WC1,WN3,WN4,WC2,Alpha,WN1Gamma,WN2Gamma,WN3Gamma,WN4Gamma,WN1H,WN2H,WN3H,WN4H,WN1Z,WN2Z,WN3Z,WN4Z,WC1W,WC2W,SUFT01,SUFT02,SUFT03,SUFT04
0,-489.3538526276514,486.8095824524767,-150.10110760242753,1.2796407148058848,0,2.489403313848951,158.825867,-161.509081,166.210491,-502.099376,609.37007,609.356532,0.00171496087,0.00478556556,0.707747196,0.706447495,0.117624688,0.0975096416,-0.69863516,0.698974402,0.993050343,-0.00801392252,0.0817635912,-0.0842704435,0.0035365276,-0.995190808,-0.0657079427,0.0725617946,-0.0926746416,0.995696445,0.995696445,0.0926746416,0.102511007,-0.99473187,0.99473187,0.102511007,2.00705355e-10,2.38908512e-08,1.5669327,2.30002838,2.29405631,-0.756408964,1.6098158955372513e-15,2.759309201806033e-12,2.7153364186150974e-08,2.0500475412738463e-08,1.1633362207563562e-13,1.3406690849894489e-16,1.5226272517653784e-13,1.1074068405982928e-12,2.7207541736482304e-14,2.1308191983924043e-12,3.739964091751213e-09,3.8247287228220554e-08,4.26898214477677e-12,5.965957383301495e-09,92.8144407,27612.4169,46.4073978,13804.6398
1,456.95549377012753,955.3955548199964,-333.78172229994755,2.176166301507232,1,2.294509606914719,350.326509,-357.309624,354.91461,470.136169,1164.92215,1164.91958,0.0986359636,-0.0268022925,-0.709121637,-0.697638221,0.0463139392,-0.0473996151,0.703941525,-0.707159547,0.994040497,0.00795664594,0.0376100313,0.102008171,0.00307495507,-0.998484655,-0.014082562,0.0531095161,-0.0197861907,0.999804234,0.999804234,0.0197861907,0.0751222037,-0.997174335,0.997174335,0.0751222037,1.72570456e-08,1.84311315e-09,0.0433170134,4.82016374,4.81859256,-0.483761512,3.262300193689194e-11,2.220130075578397e-12,1.992218625832549e-08,5.278207334281053e-07,4.539238615181909e-10,5.1962228600854556e-11,4.340874301986112e-11,1.2492635714528278e-09,1.0966024480549053e-10,8.881341318168327e-10,2.3524767539160942e-09,1.3504910968711907e-06,1.1134172179708845e-09,8.665135350007902e-07,63.1721621,44608.8008,31.5862571,22304.1327
2,475.3330909028938,960.3286612324011,-330.64990856452835,2.28232867298642,2,2.449939596360207,347.073557,-353.977312,351.56159,488.682268,1170.58114,1170.57874,0.0887776182,-0.0283364054,-0.709496431,-0.698520148,0.0451763068,-0.0470272456,0.703893961,-0.707305331,0.995021455,0.00782692242,0.0313845878,0.0942658493,0.00315265204,-0.998460928,-0.0127716274,0.0538769035,-0.0179335691,0.999839181,0.999839181,0.0179335691,0.0762077986,-0.997091957,0.997091957,0.0762077986,1.6336502e-08,1.6411767e-09,0.0794205739,5.00716418,5.00602242,-0.463538469,2.3745189145459727e-11,1.9328294735547067e-12,2.4218334193526587e-08,5.405823242110647e-07,4.1950060068506223e-10,5.5085636279148074e-11,4.630858048918304e-11,1.4138848104135204e-09,1.1249126417548139e-10,8.255251729846438e-10,2.964258980191693e-09,1.385969418470303e-06,1.0498985455703848e-09,8.781495754944123e-07,57.2257989,39161.9192,28.6130539,19580.722
3,449.1948563879751,998.6531391614308,-311.7262609254354,2.4511354507019694,3,2.467211153521261,327.051165,-334.229393,331.68461,462.207405,1215.31065,1215.30906,0.101129433,-0.0284645087,-0.709435433,-0.696895958,0.0473291326,-0.0458051755,0.703608007,-0.70752923,0.993742862,0.00790525444,0.0387189647,0.10446757,0.00281345358,-0.998513477,-0.0117465354,0.0531501532,-0.0165022529,0.999863829,0.999863829,0.0165022529,0.0751842288,-0.99716966,0.99716966,0.0751842288,1.98121637e-08,1.93764021e-09,0.0769218283,5.70698305,5.70629735,-0.434575286,2.4021763139727696e-11,1.8866116446602053e-12,1.828606314031282e-08,6.529662770705253e-07,2.644662466035048e-10,4.282400291736995e-11,4.127810479548429e-11,1.8002538806583348e-09,8.66757162756107e-11,5.588529944490563e-10,2.128351110893656e-09,1.6921529026574432e-06,7.283619507972235e-10,9.876889240026067e-07,45.7692229,32375.3565,22.8847278,16187.4786
4,446.78468080174434,944.9866857996418,-324.4928372296018,1.942801320648154,4,2.368995258495111,341.028901,-347.728161,345.422333,459.614039,1152.66433,1152.66077,0.0830870845,-0.0224572253,-0.709501656,-0.699428059,0.0481546449,-0.0487698637,0.704015942,-0.706869284,0.99537345,0.0073032467,0.0252212921,0.0924242572,0.003059552,-0.998530839,-0.018243929,0.0509309551,-0.0256709724,0.999670446,0.999670446,0.0256709724,0.0720273918,-0.997402654,0.997402654,0.0720273918,1.40519584e-08,1.46649188e-09,0.0379281981,4.57668609,4.57402618,-0.534706346,2.0272023317675176e-11,2.148415797757275e-12,1.7825428136010893e-08,5.007048158494168e-07,3.860103195877703e-10,2.981794717863703e-11,2.7534440718298242e-11,8.581519311172949e-10,7.088578706877263e-11,7.694529674109469e-10,2.0609638696690504e-09,1.2763487634531062e-06,9.41376145822043e-10,7.957757319641055e-07,75.0020071,61597.7534,37.5012234,30798.5163
5,433.0221708363531,969.3168927808812,-341.586978820302,2.116351188542417,5,2.275898273136677,358.192861,-365.45566,363.064539,446.187649,1181.33574,1181.33336,0.129588396,-0.0252411284,-0.707579444,-0.694190942,0.0474241182,-0.046808974,0.704021997,-0.70704519,0.990429047,0.00841374341,0.058911922,0.12453472,0.0028465132,-0.998549455,-0.0146199809,0.0517410786,-0.0205530603,0.999788764,0.999788764,0.0205530603,0.0731889116,-0.997318095,0.997318095,0.0731889116,2.08160981e-08,2.51499272e-09,0.00102162539,4.78997368,4.78815358,-0.495891474,6.91384258815905e-11,2.8353249607141014e-12,1.5236044930743317e-08,5.666285225590564e-07,5.322245140980516e-10,5.631225643470139e-11,5.032195391466661e-11,1.2242417083731236e-09,1.220926410885028e-10,1.0325411337058025e-09,1.7109040386857175e-09,1.4549221149420654e-06,1.2802229183413355e-09,9.53576859801691e-07,69.6103324,48226.2256,34.8053634,24112.8253
6,696.324259269774,348.9611244101206,-301.44509563198847,1.5595417686203366,6,1.1279144553925595,316.34749,-326.102446,323.675969,447.441274,712.899368,447.570645,0.013224679,-0.0801106814,-0.712005169,-0.697463996,0.0380162084,-0.0971921448,0.701869796,-0.70461851,0.0161742105,0.991971905,0.01106854,-0.124930469,0.999058692,-0.011300685,-0.0174618505,0.0380671461,-0.0111363638,0.999937989,0.999937989,0.0111363638,0.182986693,-0.98311539,0.98311539,0.182986693,9.23832593e-08,2.18884246e-08,0.154206702,0.447568613,0.149054945,-0.643915638,2.4291340374691953e-12,6.324345861530953e-13,4.677956294812976e-09,1.5803022457470443e-07,2.3052859397472064e-10,6.0366546160596134e-12,2.3561154653081112e-11,1.9002374860627353e-11,2.4102052890000384e-11,5.37270268705374e-10,6.114256375400651e-09,2.7772861425221768e-08,6.220413752524008e-10,6.453821393543352e-09,125.528705,119705.815,62.7647012,59852.2093
7,442.3165042999833,997.3957727719386,-341.002960334082,2.391358354018466,7,2.1178747145622503,357.197613,-364.719036,362.226112,455.752371,1214.11883,1214.11739,0.135683058,-0.0284831563,-0.707290574,-0.693194678,0.0461374067,-0.0451078584,0.703916334,-0.707346037,0.989673604,0.00879044819,0.0641837578,0.127864505,0.00275786713,-0.99853729,-0.0110582614,0.0528525315,-0.015525886,0.999879466,0.999879466,0.015525886,0.0747686898,-0.997200904,0.997200904,0.0747686898,2.47712675e-08,2.96723153e-09,0.0119805141,5.33716696,5.33640383,-0.444351244,7.339981119465617e-11,2.713325191637666e-12,1.6921766337681615e-08,6.499377852452489e-07,5.028303568992292e-10,7.617173053290468e-11,6.249336264631294e-11,1.7660687084579053e-09,1.505502433975822e-10,9.84968058139604e-10,1.9426665830460284e-09,1.6832437933582835e-06,1.2610737205695239e-09,1.0911122778645936e-06,56.7046282,34584.0496,28.3524615,17291.8129
8,468.8872258779841,847.7204617815206,-335.07780343524735,2.0245326102234342,8,1.9531174168605947,351.859831,-358.888091,356.51711,482.079728,1038.44998,1038.44517,0.0811310746,-0.0285893408,-0.709693403,-0.699239353,0.0459760811,-0.0521326814,0.703866215,-0.70692343,0.995633734,0.00892108291,0.0253957022,0.0893808742,0.00417334038,-0.998190987,-0.0162075291,0.0577464443,-0.0227289738,0.999741664,0.999741664,0.0227289738,0.0816720643,-0.996659257,0.996659257,0.0816720643,1.78864568e-08,2.00519269e-09,0.0531194929,3.73037134,3.72831404,-0.515693173,2.033537262575147e-11,1.689283089022524e-12,2.268019151896552e-08,2.957168625924734e-07,4.79262811503384e-10,4.3159697200428275e-11,3.5773078541501435e-11,7.225093432688327e-10,9.624212230782284e-11,9.320620897978418e-10,2.7224616128282547e-09,7.299249297886976e-07,1.1451787850600422e-09,4.901611742189939e-07,73.1173278,54715.7278,36.5588754,27357.5412
9,-895.6302763296273,355.75893756636304,-302.61743205831624,1.486033054823058,9,0.534765180034782,317.871682,-323.012458,325.0964,455.418203,-913.639558,455.441729,0.0035159924,0.0627936682,0.710767922,0.700609417,0.0672153452,0.0966769316,-0.701602297,0.702772996,0.00302215617,-0.993326053,-0.0235210304,0.112875951,0.997727719,-0.00372543417,0.0448323419,-0.0501555632,-0.0297468984,0.999557463,0.999557463,0.0297468984,0.162931847,-0.986637326,0.986637326,0.162931847,3.93493629e-09,2.02678433e-08,0.165723435,3.1229885,0.165726861,-0.669987187,3.897518106232307e-12,4.333427805173951e-11,4.771064996204428e-09,5.493571230067523e-07,2.4168373486449616e-10,3.688947079016713e-12,1.6587648587597248e-11,2.605417614198945e-11,1.8695409756709752e-11,4.992863199012836e-10,6.955947772878299e-09,1.063757950597811e-07,6.393655665275895e-10,6.957270581634718e-09,155.300073,135312.599,77.6504464,67655.472
10,495.5293801805515,847.2864489759617,-318.0591702057447,2.524296735086459,10,2.455616627218867,333.593278,-341.019243,338.339273,509.01799,1037.55373,1037.55031,0.0800363678,-0.0372789853,-0.710263377,-0.698376971,0.0441064678,-0.0513118373,0.703394138,-0.707572188,0.995804836,0.00991862077,0.0259751431,0.0871759176,0.00463972208,-0.99793737,-0.00937624976,0.0633369193,-0.0130679339,0.999914611,0.999914611,0.0130679339,0.089589137,-0.995978808,0.995978808,0.089589137,2.36373565e-08,2.21716022e-09,0.162691346,4.39493974,4.39499033,-0.422966046,1.2975045348399865e-11,1.1095114206976852e-12,2.980782063064996e-08,2.9377474809518573e-07,3.048253307019767e-10,5.285062921639265e-11,5.038625492863516e-11,1.1708967544648053e-09,1.0336902757822178e-10,6.318234522913323e-10,3.7431141867300824e-09,7.26724554323873e-07,8.253383613388121e-10,4.593097053948521e-07,45.8227736,30027.4418,22.9115001,15013.5347
11,427.78758189049,977.6544994254622,-332.29791993101253,2.107369523541102,11,2.146089315083344,348.602914,-355.797889,353.39048,440.764635,1191.00535,1191.00295,0.122801992,-0.0245328338,-0.708076818,-0.694942465,0.0483477274,-0.046831751,0.703947473,-0.70705533,0.991248935,0.00812205951,0.0534287232,0.120436512,0.00277807016,-0.998568455,-0.0151837468,0.0512130535,-0.0213548465,0.999771959,0.999771959,0.0213548465,0.0724397796,-0.997372788,0.997372788,0.0724397796,1.98970799e-08,2.29578114e-09,0.00233518894,4.95013746,4.94821847,-0.497817304,5.3885225341292456e-11,2.6863105802873102e-12,1.4351504396298502e-08,5.903759271147973e-07,4.3923215428901694e-10,4.595184651326824e-11,4.2323951648618376e-11,1.2271549095208825e-09,1.0098168211847926e-10,8.720420877746159e-10,1.5925734224181115e-09,1.5194920349938673e-06,1.0833445154816466e-09,9.631857445976346e-07,66.4071623,48773.8211,33.2037697,24386.6199
12,494.1773633716488,942.5332444754864,-330.2529335213316,2.1229518033753325,12,2.40176312708741,346.998908,-353.594509,351.292615,507.653908,1149.77273,1149.7694,0.0708286448,-0.0264231065,-0.709774472,-0.700360851,0.0446236449,-0.0481558122,0.704012977,-0.707146008,0.996484206,0.00739686768,0.0189738841,0.0812681048,0.00335561911,-0.99846288,-0.0150306268,0.0532418682,-0.0211196752,0.999776955,0.999776955,0.0211196752,0.0752988986,-0.997161008,0.997161008,0.0752988986,1.30364248e-08,1.29973372e-09,0.0977647011,4.68802001,4.68626691,-0.494572036,1.4065410409927075e-11,1.706290773027912e-12,2.937113216045298e-08,4.938377194224454e-07,4.2895471606115296e-10,4.492474591621404e-11,3.953301915311616e-11,1.1207163342719757e-09,9.657945559654011e-11,8.365065687990199e-10,3.717747484935579e-09,1.2596401866650897e-06,1.0458150675863955e-09,8.017249011893364e-07,64.689062,47776.7277,32.3447139,23888.0787
13,465.5123662543594,998.458266487618,-330.360161951711,1.9541676829509191,13,2.388874054839448,347.273768,-353.670249,351.442189,478.597293,1215.40786,1215.40482,0.0758664839,-0.0212808509,-0.709465731,-0.700321197,0.0466881255,-0.046598643,0.704204672,-0.706926139,0.996020552,0.00656143638,0.0210789432,0.0863463174,0.00274888745,-0.998665429,-0.0176021308,0.0484764809,-0.0247831511,0.999692851,0.999692851,0.0247831511,0.0685550771,-0.997647333,0.997647333,0.0685550771,1.11540684e-08,1.10708987e-09,0.053394718,4.97893478,4.97636768,-0.53200881,1.8270814331468015e-11,2.274352739648119e-12,2.1834429074380312e-08,6.535859495648699e-07,4.405970967196868e-10,3.43903484946633e-11,3.034618642612668e-11,1.038180332435738e-09,8.036237622990769e-11,8.559986884999104e-10,2.631732610033086e-09,1.6929881635459566e-06,1.0491145367102678e-09,1.058452063665385e-06,76.7187462,60543.1281,38.3595976,30271.2093
14,456.9553842301928,988.415911955726,-333.78165081664974,2.605224967745172,14,2.194259001352445,349.615248,-357.133057,354.547939,470.414172,1203.3914,1203.39026,0.12078877,-0.0314554858,-0.70830354,-0.694785378,0.0451595615,-0.0450848665,0.703762742,-0.707563405,0.991646159,0.00883415888,0.054253035,0.11668959,0.0029294218,-0.998448729,-0.00898367351,0.0548711876,-0.0125899561,0.999920743,0.999920743,0.0125899561,0.0776266427,-0.9969825,0.9969825,0.0776266427,2.48428813e-08,2.69066538e-09,0.0529464539,5.5455471,5.54550067,-0.410860173,4.91168025705713e-11,2.2327470713695847e-12,1.9904199564209078e-08,6.212161557659086e-07,4.2167476481866746e-10,7.847105895495738e-11,6.206233243360168e-11,1.9890390873316103e-09,1.4864128746096027e-10,8.408079974116123e-10,2.352990194819977e-09,1.6056941344099144e-06,1.1045603853820645e-09,1.018977692011956e-06,48.5199708,27704.6981,24.2601017,13852.1763
15,415.4751747543186,867.8667317199752,-340.39544070308153,1.8940054528193573,15,2.037870699598125,357.089115,-364.497058,362.123762,428.322855,1062.30687,1062.30259,0.132490033,-0.0242335981,-0.707480925,-0.693779406,0.0492048894,-0.0514453052,0.70395701,-0.706665966,0.989955955,0.00936241695,0.0597617871,0.127781377,0.00353218069,-0.998337848,-0.0185417793,0.0544542713,-0.0260524621,0.999660577,0.999660577,0.0260524621,0.0770201142,-0.997029539,0.997029539,0.0770201142,2.29692959e-08,2.99633443e-09,0.000153205598,3.70316577,3.70037172,-0.54656271,7.217644019550322e-11,2.625266368190841e-12,1.2421421869270384e-08,3.321819595534449e-07,5.351908191542847e-10,3.798592070626379e-11,3.992489119354372e-11,6.246565227657517e-10,9.423132408241673e-11,1.0461986999987582e-09,1.3286323596055086e-09,8.243524882383226e-07,1.2598381112903442e-09,5.589040396427734e-07,87.6129313,66481.701,43.8067239,33240.464
16,427.42041341666254,872.7586763204429,-308.34501939113056,2.156347793267686,16,2.0618327142595887,323.662286,-331.130764,328.560981,440.061661,1067.65758,1067.65408,0.0999466151,-0.0288807971,-0.709676851,-0.69680366,0.0497333635,-0.0516604348,0.703423566,-0.707144313,0.993742212,0.00920585712,0.0362303761,0.105256965,0.00369910523,-0.998204564,-0.0155374991,0.0577282557,-0.0218042355,0.999762259,0.999762259,0.0218042355,0.0816562176,-0.996660555,0.996660555,0.0816562176,2.41692339e-08,2.60985665e-09,0.0394321522,4.36039036,4.35864887,-0.487797002,2.2062365133101013e-11,1.6870292393618082e-12,1.4325469560657254e-08,3.4032686886907036e-07,2.5380024655294376e-10,2.913162855191823e-11,2.936038260812958e-11,9.021105876731497e-10,6.447950789549251e-11,5.459026140357618e-10,1.5753437034657073e-09,8.469737339780313e-07,6.856379689652782e-10,5.105869225517363e-07,54.7987615,45711.3278,27.3995343,22855.3899
17,290.0809637470841,633.8749800895146,-156.49534545728957,1.283746320271627,17,2.948339140783364,165.601514,-174.971742,171.588719,299.894675,783.70457,783.684025,0.00896106582,-0.00360866632,-0.708418171,-0.70572684,0.0842910284,-0.0785405203,0.701795706,-0.703000139,0.996379502,0.0132072739,-0.0526487537,0.0654336677,0.00652763642,-0.9968169,-0.0534283694,0.0588121346,-0.0752657309,0.997163512,0.997163512,0.0752657309,0.0829278009,-0.996555558,0.996555558,0.0829278009,7.30967728e-08,7.41393083e-09,0.0795034756,3.52191713,3.51424418,-0.754251824,5.354584664749169e-15,2.545165213787929e-13,2.1258504626784733e-09,7.155417408374292e-08,2.51713355827753e-13,6.173096475438853e-16,2.1275474280309163e-14,3.255020015229485e-12,4.2195573973773323e-14,4.804831028007606e-12,1.3634496494748807e-10,1.5760105067695205e-07,5.880662034968444e-12,2.8204363609834055e-08,98.4004575,43068.9042,49.2004191,21532.9089
18,699.9722071286797,325.5904962527075,-289.1961826834111,1.564107919949188,18,0.5159980435886121,303.423351,-313.728804,311.137291,419.480492,716.55217,419.63332,0.0126403713,-0.091397861,-0.712570297,-0.69550717,0.0382963571,-0.102606591,0.701338355,-0.704364812,0.0153811944,0.990462069,0.00671601683,-0.136759661,0.99906808,-0.0101591957,-0.0179715994,0.0379049265,-0.00316324198,0.999994997,0.999994997,0.00316324198,0.201537719,-0.979480754,0.979480754,0.201537719,1.21289448e-07,2.85591613e-08,0.110352759,0.491680014,0.105722063,-0.642476255,2.9510958930470787e-12,7.339132063200603e-13,3.368137912528461e-09,1.6232330571402038e-07,1.6666689753935804e-10,4.602459408094599e-12,1.9650091502147686e-11,1.8836043658968068e-11,1.9247068905885176e-11,4.165256914308371e-10,4.129332541094293e-09,2.8459456638920036e-08,4.824794310572934e-10,4.4348481503054175e-09,114.210549,118391.811,57.1055927,59195.214
19,418.0874781822021,914.7662027679316,-342.7993395715979,2.0008290915201443,19,1.533592276710332,359.360054,-366.869532,364.470969,431.171494,1117.33221,1117.32903,0.145564377,-0.0248786761,-0.706618064,-0.69201371,0.0485887261,-0.0491299396,0.703980205,-0.706850235,0.988149867,0.00927391091,0.0695286307,0.136526935,0.00316033558,-0.99843943,-0.0163875546,0.0532932008,-0.0230296143,0.999734783,0.999734783,0.0230296143,0.0753836602,-0.997154604,0.997154604,0.0753836602,2.44723083e-08,3.22717568e-09,0.000177797461,4.18481048,4.18250759,-0.521049342,9.121583328345541e-11,2.8703492883414884e-12,1.2792213650411665e-08,4.2828656730567325e-07,5.501253437245932e-10,4.8491119041911056e-11,4.968144761351855e-11,8.79054275389223e-10,1.1270815305202614e-10,1.074454911531171e-09,1.382042423758746e-09,1.0805611283384497e-06,1.3104349085285157e-09,7.248257382042769e-07,78.4452209,56607.2803,39.2228384,28303.3072
20,423.88305353517336,897.2198799734467,-320.6040244264843,1.7942004461923022,20,1.9868410131737009,337.036043,-343.844095,341.53561,436.338377,1096.49207,1096.48739,0.0843810862,-0.0203213312,-0.709453708,-0.699387097,0.050288868,-0.0512497066,0.703992287,-0.706568721,0.995158235,0.00763280895,0.0246520261,0.0948372552,0.00330895609,-0.998449924,-0.0215075284,0.0512271972,-0.0302696208,0.99954177,0.99954177,0.0302696208,0.0724372348,-0.997372973,0.997372973,0.0724372348,1.52136903e-08,1.66555357e-09,0.0139373868,4.05600029,4.05258674,-0.572717189,2.044667883826287e-11,2.182401147325555e-12,1.3745386345026322e-08,3.895979322402025e-07,3.606295204753468e-10,1.9909379726478267e-11,1.9883905938494836e-11,5.391935858260588e-10,5.319782719501496e-11,7.303064304553403e-10,1.5046340975953654e-09,9.770417246022492e-07,8.769587358916492e-10,6.113917436758996e-07,89.3692762,78082.6184,44.684902,39040.8586
21,496.4592555391224,930.027454280595,-325.3601019165066,2.1920877970290658,21,2.3903825295837087,341.8147,-348.517328,346.161233,509.94327,1135.02013,1135.01681,0.0707880669,-0.0279970969,-0.709909811,-0.700166603,0.0445703753,-0.0485987356,0.703892931,-0.707238564,0.996488929,0.00768276815,0.0189969969,0.0811782155,0.00351350353,-0.998396364,-0.0142097304,0.0546849002,-0.0199525351,0.999800928,0.999800928,0.0199525351,0.0773412848,-0.997004677,0.997004677,0.0773412848,1.41399074e-08,1.38785297e-09,0.120670893,4.7068065,4.70534445,-0.480635989,1.2642069094829187e-11,1.5386698117870317e-12,3.0048885565799056e-08,4.6262138088151325e-07,3.809968648545555e-10,4.4332146891923504e-11,4.0900802684447864e-11,1.1623623821355313e-09,9.361049650180581e-11,7.559481589698758e-10,3.813862122228842e-09,1.1757276336941465e-06,9.539526118925485e-10,7.388061123085562e-07,59.2619317,43713.4267,29.6311302,21856.4506
22,729.4485331581077,359.5772001732658,-301.371405036891,1.4450197130461393,22,0.1958243417267667,316.629432,-325.801393,323.906473,459.787782,746.62224,459.869894,0.0087408788,-0.0520672471,-0.710858787,-0.7013504,0.0370371358,-0.0960775368,0.70238346,-0.704311602,0.0140716076,0.993961006,0.0304526352,-0.104480355,0.99917658,-0.00998129779,-0.0202459295,0.0337140707,-0.0406311578,0.999174214,0.999174214,0.0406311578,0.151690736,-0.988428005,0.988428005,0.151690736,6.81590045e-08,2.09443733e-08,0.179049625,0.489308735,0.172724843,-0.685008436,1.0152031032560332e-12,6.642613317205918e-13,5.339685935676032e-09,1.9944563120381864e-07,2.3571255452973884e-10,3.0285640163060665e-12,1.2291620425891529e-11,1.1042380053715856e-11,1.5870332793779515e-11,5.410772739209433e-10,7.2375950557304285e-09,3.57516320469372e-08,6.242271378641921e-10,7.38647452728862e-09,175.971021,144922.42,87.985958,72460.2909
