M1,M2,Mu,Tb,ID
790.0945613054624,694.5553013644542,-158.63246608744498,1.2088653596356451,105728.0
-928.5179409850266,782.0755640919946,-156.90035929644063,1.1332046326363314,20557.0
552.0973760213903,682.228271529638,-160.15862644946245,1.0329149427226385,17358.0
-696.2995853112152,847.0709484712861,-155.5153843289665,1.0805642457743716,21298.0
-725.7564751128756,706.866480958255,-153.81337766227387,1.1344145610882397,21171.0
922.4238488531205,755.0809092510337,-151.77010585896,1.2096100878919789,19757.0
464.2985414742391,899.5922745131548,-154.91313557693786,1.0172191455438797,21062.0
214.56880277198564,839.3138489818816,-158.7605367754017,1.2405725842562705,105325.0
359.97978948402175,569.1783040574445,-157.3086541816633,1.0085171093365377,110142.0
590.9424502122685,760.4541308707742,-160.283931695134,1.1780286907575226,21844.0
-997.7744294687748,746.2463710893892,-155.70245391527294,1.0239914793941565,24637.0
608.8385962384408,944.6569384951684,-151.62563307214594,1.2237837370472306,98007.0
702.5647762633666,960.4095456033988,-154.10954224775742,1.000104725910132,28900.0
513.451318867284,858.6335805114222,-160.39437277982137,1.2639097470447087,23927.0
196.88947345344855,951.6682591144043,-150.487294527203,1.1205197897253572,18484.0
778.5359108329309,883.8812658001692,-157.62062323191793,1.0317338231119604,22066.0
353.5331858074693,803.7199280750126,-151.97308387457397,1.1791896336628536,22349.0
-991.3427309615356,873.3587086980953,-155.11201022320066,1.1762641220842407,27806.0
-983.9538116423972,960.3346995263818,-158.64132962421905,1.1792807859125056,30828.0
564.3383441848879,883.4623185398102,-155.0358996673541,1.0159641175302574,26872.0
879.9244064615781,956.8224694192858,-154.3953180772607,1.0969071046420718,28246.0
-685.7564736681983,764.8070939799991,-158.68319573627454,1.0593251584890175,39027.0
866.0608704057005,915.8157466127094,-152.38585575431773,1.0132427230255596,26008.0
253.84571908411058,885.7288293579859,-160.08970510710796,1.2725690009723205,225.0
-889.0417421269044,859.4143977816956,-163.50214434582512,1.1870192827034243,24989.0
214.4486189913566,796.4740466400629,-155.55151043444425,1.218130664311837,23282.0
405.734706668204,932.1905283602993,-154.80375354390108,1.3253612673633488,110026.0
498.7034283345515,963.4280611028036,-159.23873789701327,1.1898337523704634,27018.0
505.62900995822037,650.1044031836846,-153.80954288135763,1.017645549601759,214.0
254.4916264597492,975.7082623773468,-160.84376077830908,1.1624328163834938,1629.0
-788.920701594522,740.8221374374061,-150.9310767485108,1.2101480908930249,22719.0
-916.0311273409276,992.6388358993272,-155.66438797501013,1.1454525301808125,21454.0
703.4442823145781,924.0322889908692,-156.4014820746712,1.1150116164536654,21858.0
497.0341518471051,753.819245141827,-157.64341892390732,1.047522133364629,24057.0
763.0199242584264,764.5988580708727,-155.3444151192389,1.072606907959417,25690.0
-823.8416897880082,684.8723928469102,-161.1840306940464,1.1749217492218558,110473.0
639.0777522228781,804.5315739207045,-154.77271336045305,1.1317736216194914,26680.0
967.8187556056772,924.145940259286,-152.36288821592981,1.0719873490706804,97834.0
395.47729229870197,869.2330411823701,-159.2387320627471,1.1530079831341975,2333.0
-923.9135243200792,901.6627099650848,-156.09284910638954,1.0066064807046278,26557.0
816.6489952285784,593.1743756088642,-160.30745895830222,1.103174879719838,107036.0
208.66050859522335,671.2822277845867,-160.26758873787006,1.230272942808847,2933.0
777.9231350856088,817.216013930664,-160.08943707435353,1.1338595294239997,20691.0
978.5066966320244,848.4974336810662,-157.68420901951262,1.0678497914314242,2577.0
765.3584244461701,971.7453265620824,-153.4327416311485,1.1363467353398862,30592.0
